date,material_category,state,location,buying_price,unit,market_range_low,market_range_high,requires_handling_fee,source_type,source
16-09-2026,Aluminium,Punjab,Amritsar,151.78,per kg,139.64,163.92,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Iron,Punjab,Amritsar,36.47,per kg,33.55,39.39,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Lead,Punjab,Amritsar,100.98,per kg,92.9,109.06,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,PCB,Punjab,Amritsar,112.08,per kg,103.11,121.05,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Cable,Punjab,Amritsar,252.09,per kg,231.92,272.26,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Motor,Punjab,Amritsar,48.39,per kg,44.52,52.26,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Battery,Punjab,Amritsar,43.12,per kg,39.67,46.57,False,Derived (Composition Model - Lead-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,CRT,Punjab,Amritsar,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,LCD,Punjab,Amritsar,20.73,per kg,19.07,22.39,False,Derived (Composition Model - Aluminium-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Copper,Punjab,Jalandhar,604.8,per kg,556.42,653.18,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Aluminium,Punjab,Jalandhar,142.85,per kg,131.42,154.28,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Iron,Punjab,Jalandhar,34.32,per kg,31.57,37.07,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Lead,Punjab,Jalandhar,95.04,per kg,87.44,102.64,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,PCB,Punjab,Jalandhar,105.48,per kg,97.04,113.92,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Cable,Punjab,Jalandhar,237.26,per kg,218.28,256.24,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Motor,Punjab,Jalandhar,45.54,per kg,41.9,49.18,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Battery,Punjab,Jalandhar,40.58,per kg,37.33,43.83,False,Derived (Composition Model - Lead-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,CRT,Punjab,Jalandhar,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,LCD,Punjab,Jalandhar,19.51,per kg,17.95,21.07,False,Derived (Composition Model - Aluminium-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Copper,Maharashtra,Mumbai,661.5,per kg,608.58,714.42,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Aluminium,Maharashtra,Mumbai,156.24,per kg,143.74,168.74,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Iron,Maharashtra,Mumbai,37.54,per kg,34.54,40.54,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Lead,Maharashtra,Mumbai,103.95,per kg,95.63,112.27,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,PCB,Maharashtra,Mumbai,115.37,per kg,106.14,124.6,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Cable,Maharashtra,Mumbai,259.51,per kg,238.75,280.27,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Motor,Maharashtra,Mumbai,49.81,per kg,45.83,53.79,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Battery,Maharashtra,Mumbai,44.38,per kg,40.83,47.93,False,Derived (Composition Model - Lead-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,CRT,Maharashtra,Mumbai,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,LCD,Maharashtra,Mumbai,21.34,per kg,19.63,23.05,False,Derived (Composition Model - Aluminium-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Copper,Maharashtra,Pune,642.6,per kg,591.19,694.01,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Aluminium,Maharashtra,Pune,151.78,per kg,139.64,163.92,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Iron,Maharashtra,Pune,36.47,per kg,33.55,39.39,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Lead,Maharashtra,Pune,100.98,per kg,92.9,109.06,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,PCB,Maharashtra,Pune,112.08,per kg,103.11,121.05,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Cable,Maharashtra,Pune,252.09,per kg,231.92,272.26,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Motor,Maharashtra,Pune,48.39,per kg,44.52,52.26,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Battery,Maharashtra,Pune,43.12,per kg,39.67,46.57,False,Derived (Composition Model - Lead-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,CRT,Maharashtra,Pune,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,LCD,Maharashtra,Pune,20.73,per kg,19.07,22.39,False,Derived (Composition Model - Aluminium-driven),DEMO MODE - Fallback Estimate (NOT live)
15-09-2026,Copper,Punjab,Ludhiana,677.55,per kg,623.35,731.75,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Aluminium,Punjab,Ludhiana,155.22,per kg,142.8,167.64,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Iron,Punjab,Ludhiana,38.95,per kg,35.83,42.07,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Lead,Punjab,Ludhiana,93.27,per kg,85.81,100.73,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,PCB,Punjab,Ludhiana,114.71,per kg,105.53,123.89,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Cable,Punjab,Ludhiana,249.31,per kg,229.37,269.25,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Motor,Punjab,Ludhiana,48.7,per kg,44.8,52.6,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Battery,Punjab,Ludhiana,45.75,per kg,42.09,49.41,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,CRT,Punjab,Ludhiana,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,LCD,Punjab,Ludhiana,20.37,per kg,18.74,22.0,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Copper,Punjab,Amritsar,606.93,per kg,558.38,655.48,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Aluminium,Punjab,Amritsar,146.43,per kg,134.72,158.14,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Iron,Punjab,Amritsar,36.8,per kg,33.86,39.74,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Lead,Punjab,Amritsar,102.82,per kg,94.59,111.05,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,PCB,Punjab,Amritsar,110.4,per kg,101.57,119.23,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Cable,Punjab,Amritsar,264.73,per kg,243.55,285.91,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Motor,Punjab,Amritsar,48.11,per kg,44.26,51.96,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Battery,Punjab,Amritsar,41.59,per kg,38.26,44.92,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,CRT,Punjab,Amritsar,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,LCD,Punjab,Amritsar,22.2,per kg,20.42,23.98,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Copper,Punjab,Jalandhar,560.51,per kg,515.67,605.35,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Aluminium,Punjab,Jalandhar,156.09,per kg,143.6,168.58,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Iron,Punjab,Jalandhar,33.01,per kg,30.37,35.65,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Lead,Punjab,Jalandhar,103.19,per kg,94.93,111.45,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,PCB,Punjab,Jalandhar,98.66,per kg,90.77,106.55,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Cable,Punjab,Jalandhar,247.37,per kg,227.58,267.16,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Motor,Punjab,Jalandhar,46.68,per kg,42.95,50.41,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Battery,Punjab,Jalandhar,37.52,per kg,34.52,40.52,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,CRT,Punjab,Jalandhar,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,LCD,Punjab,Jalandhar,19.34,per kg,17.79,20.89,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Copper,Maharashtra,Mumbai,652.07,per kg,599.9,704.24,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Aluminium,Maharashtra,Mumbai,148.03,per kg,136.19,159.87,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Iron,Maharashtra,Mumbai,34.31,per kg,31.57,37.05,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Lead,Maharashtra,Mumbai,96.15,per kg,88.46,103.84,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,PCB,Maharashtra,Mumbai,114.43,per kg,105.28,123.58,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Cable,Maharashtra,Mumbai,274.2,per kg,252.26,296.14,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Motor,Maharashtra,Mumbai,53.98,per kg,49.66,58.3,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Battery,Maharashtra,Mumbai,40.44,per kg,37.2,43.68,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,CRT,Maharashtra,Mumbai,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,LCD,Maharashtra,Mumbai,23.43,per kg,21.56,25.3,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Copper,Maharashtra,Pune,666.88,per kg,613.53,720.23,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Aluminium,Maharashtra,Pune,144.95,per kg,133.35,156.55,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Iron,Maharashtra,Pune,38.67,per kg,35.58,41.76,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Lead,Maharashtra,Pune,105.21,per kg,96.79,113.63,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,PCB,Maharashtra,Pune,117.79,per kg,108.37,127.21,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Cable,Maharashtra,Pune,266.74,per kg,245.4,288.08,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Motor,Maharashtra,Pune,52.32,per kg,48.13,56.51,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,Battery,Maharashtra,Pune,43.33,per kg,39.86,46.8,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,CRT,Maharashtra,Pune,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
15-09-2026,LCD,Maharashtra,Pune,20.22,per kg,18.6,21.84,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Copper,Punjab,Ludhiana,682.77,per kg,628.15,737.39,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Aluminium,Punjab,Ludhiana,138.53,per kg,127.45,149.61,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Iron,Punjab,Ludhiana,39.02,per kg,35.9,42.14,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Lead,Punjab,Ludhiana,94.34,per kg,86.79,101.89,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,PCB,Punjab,Ludhiana,103.54,per kg,95.26,111.82,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Cable,Punjab,Ludhiana,258.95,per kg,238.23,279.67,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Motor,Punjab,Ludhiana,51.52,per kg,47.4,55.64,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Battery,Punjab,Ludhiana,43.47,per kg,39.99,46.95,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,CRT,Punjab,Ludhiana,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,LCD,Punjab,Ludhiana,20.82,per kg,19.15,22.49,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Copper,Punjab,Amritsar,600.52,per kg,552.48,648.56,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Aluminium,Punjab,Amritsar,139.2,per kg,128.06,150.34,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Iron,Punjab,Amritsar,34.08,per kg,31.35,36.81,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Lead,Punjab,Amritsar,106.8,per kg,98.26,115.34,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,PCB,Punjab,Amritsar,101.48,per kg,93.36,109.6,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Cable,Punjab,Amritsar,228.59,per kg,210.3,246.88,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Motor,Punjab,Amritsar,50.45,per kg,46.41,54.49,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Battery,Punjab,Amritsar,39.06,per kg,35.94,42.18,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,CRT,Punjab,Amritsar,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,LCD,Punjab,Amritsar,19.11,per kg,17.58,20.64,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Copper,Punjab,Jalandhar,550.57,per kg,506.52,594.62,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Aluminium,Punjab,Jalandhar,140.81,per kg,129.55,152.07,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Iron,Punjab,Jalandhar,37.71,per kg,34.69,40.73,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Lead,Punjab,Jalandhar,86.89,per kg,79.94,93.84,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,PCB,Punjab,Jalandhar,109.18,per kg,100.45,117.91,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Cable,Punjab,Jalandhar,243.66,per kg,224.17,263.15,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Motor,Punjab,Jalandhar,43.7,per kg,40.2,47.2,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Battery,Punjab,Jalandhar,43.69,per kg,40.19,47.19,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,CRT,Punjab,Jalandhar,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,LCD,Punjab,Jalandhar,19.7,per kg,18.12,21.28,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Copper,Maharashtra,Mumbai,635.09,per kg,584.28,685.9,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Aluminium,Maharashtra,Mumbai,145.93,per kg,134.26,157.6,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Iron,Maharashtra,Mumbai,37.42,per kg,34.43,40.41,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Lead,Maharashtra,Mumbai,98.02,per kg,90.18,105.86,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,PCB,Maharashtra,Mumbai,118.6,per kg,109.11,128.09,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Cable,Maharashtra,Mumbai,249.19,per kg,229.25,269.13,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Motor,Maharashtra,Mumbai,53.6,per kg,49.31,57.89,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Battery,Maharashtra,Mumbai,43.96,per kg,40.44,47.48,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,CRT,Maharashtra,Mumbai,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,LCD,Maharashtra,Mumbai,20.83,per kg,19.16,22.5,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Copper,Maharashtra,Pune,632.07,per kg,581.5,682.64,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Aluminium,Maharashtra,Pune,159.49,per kg,146.73,172.25,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Iron,Maharashtra,Pune,33.46,per kg,30.78,36.14,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Lead,Maharashtra,Pune,91.81,per kg,84.47,99.15,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,PCB,Maharashtra,Pune,118.08,per kg,108.63,127.53,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Cable,Maharashtra,Pune,251.64,per kg,231.51,271.77,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Motor,Maharashtra,Pune,47.17,per kg,43.4,50.94,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,Battery,Maharashtra,Pune,46.38,per kg,42.67,50.09,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,CRT,Maharashtra,Pune,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",Simulated historical trend (see SOURCES.md for base-value citations)
14-09-2026,LCD,Maharashtra,Pune,20.44,per kg,18.8,22.08,False,Derived (Composition Model - Aluminium-driven),Simulated historical trend (see SOURCES.md for base-value citations)
13-09-2026,Copper,Punjab,Ludhiana,621.83,per kg,572.08,671.58,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
13-09-2026,Aluminium,Punjab,Ludhiana,146.3,per kg,134.6,158.0,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
13-09-2026,Iron,Punjab,Ludhiana,32.74,per kg,30.12,35.36,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
13-09-2026,Lead,Punjab,Ludhiana,97.44,per kg,89.64,105.24,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),Simulated historical trend (see SOURCES.md for base-value citations)
13-09-2026,PCB,Punjab,Ludhiana,112.24,per kg,103.26,121.22,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
13-09-2026,Cable,Punjab,Ludhiana,249.03,per kg,229.11,268.95,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
13-09-2026,Motor,Punjab,Ludhiana,50.14,per kg,46.13,54.15,False,Derived (Composition Model - Copper-driven),Simulated historical trend (see SOURCES.md for base-value citations)
13-09-2026,Battery,Punjab,Ludhiana,44.15,per kg,40.62,47.68,False,Derived (Composition Model - Lead-driven),Simulated historical trend (see SOURCES.md for base-value citations)
